305: 7.401863, 48.307301 avg, 0.000003 rate, 4.718115 seconds, 78080 images
306: 7.220770, 44.198647 avg, 0.000004 rate, 4.918542 seconds, 78336 images
307: 6.760799, 40.454861 avg, 0.000004 rate, 4.856039 seconds, 78592 images
320: 6.120019, 37.021378 avg, 0.000004 rate, 5.158626 seconds, 81920 images
321: 6.200865, 33.939327 avg, 0.000004 rate, 4.746575 seconds, 82176 images
322: 6.222836, 31.167679 avg, 0.000004 rate, 4.791291 seconds, 82432 images
323: 6.023579, 28.653269 avg, 0.000004 rate, 4.860049 seconds, 82688 images
336: 5.851089, 26.373051 avg, 0.000005 rate, 5.323573 seconds, 86016 images
337: 5.217351, 24.257481 avg, 0.000005 rate, 4.784148 seconds, 86272 images
338: 6.087418, 22.440474 avg, 0.000005 rate, 4.909616 seconds, 86528 images
339: 5.356862, 20.732113 avg, 0.000005 rate, 4.824965 seconds, 86784 images
352: 5.197546, 19.178656 avg, 0.000006 rate, 5.223998 seconds, 90112 images
353: 6.402529, 17.901043 avg, 0.000006 rate, 4.685436 seconds, 90368 images
354: 4.750656, 16.586004 avg, 0.000006 rate, 4.881188 seconds, 90624 images
355: 5.828862, 15.510290 avg, 0.000006 rate, 4.887758 seconds, 90880 images
368: 5.172238, 14.476485 avg, 0.000007 rate, 5.225330 seconds, 94208 images
369: 5.155297, 13.544367 avg, 0.000007 rate, 4.755822 seconds, 94464 images
370: 5.045386, 12.694468 avg, 0.000007 rate, 4.851256 seconds, 94720 images
371: 4.562820, 11.881304 avg, 0.000008 rate, 4.888763 seconds, 94976 images
384: 4.261629, 11.119336 avg, 0.000009 rate, 5.155412 seconds, 98304 images
385: 4.436800, 10.451082 avg, 0.000009 rate, 4.718621 seconds, 98560 images
386: 4.696129, 9.875587 avg, 0.000009 rate, 4.882080 seconds, 98816 images
387: 4.565312, 9.344559 avg, 0.000009 rate, 4.904518 seconds, 99072 images
400: 4.465090, 8.856612 avg, 0.000010 rate, 5.281764 seconds, 102400 images
401: 4.486179, 8.419569 avg, 0.000010 rate, 4.779133 seconds, 102656 images
402: 4.034048, 7.981017 avg, 0.000010 rate, 4.718844 seconds, 102912 images
403: 4.413939, 7.624309 avg, 0.000011 rate, 4.910046 seconds, 103168 images
416: 4.328745, 7.294753 avg, 0.000012 rate, 5.171425 seconds, 106496 images
417: 4.121763, 6.977454 avg, 0.000012 rate, 4.748903 seconds, 106752 images
418: 3.813743, 6.661083 avg, 0.000012 rate, 4.853341 seconds, 107008 images
419: 4.226787, 6.417653 avg, 0.000012 rate, 4.982250 seconds, 107264 images
432: 4.401640, 6.216052 avg, 0.000014 rate, 5.240407 seconds, 110592 images
433: 4.449073, 6.039354 avg, 0.000014 rate, 4.688890 seconds, 110848 images
434: 4.462037, 5.881622 avg, 0.000014 rate, 4.844261 seconds, 111104 images
